Customer_ID,Recency,Frequency,Monetary,Churn_Probability,Risk_Level
C339,150,1,373970.0,0.610206,Medium Risk
C348,147,1,283560.0,0.599664,Medium Risk
C370,143,1,282205.0,0.597722,Medium Risk
C419,137,1,158925.0,0.582306,Medium Risk
C026,152,1,61344.0,0.579046,Medium Risk
C269,143,1,95510.0,0.578474,Medium Risk
C072,152,1,43386.0,0.577182,Medium Risk
C022,92,1,297340.0,0.576085,Medium Risk
C319,141,1,72900.0,0.575209,Medium Risk
C020,152,1,18759.0,0.574622,Medium Risk
C456,154,1,9576.0,0.574584,Medium Risk
C375,147,1,36032.0,0.574125,Medium Risk
C451,152,1,13285.0,0.574052,Medium Risk
C211,141,1,59644.0,0.57383,Medium Risk
C015,141,1,58288.0,0.573689,Medium Risk
C071,142,1,35615.0,0.571786,Medium Risk
C270,95,1,237412.0,0.571223,Medium Risk
C145,144,1,19910.0,0.571068,Medium Risk
C006,144,1,19130.0,0.570987,Medium Risk
C433,140,1,28795.0,0.570156,Medium Risk
